FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01007868,2019,Score,,8.984,a. Index of Multiple Deprivation (IMD)
E01007872,2019,Score,,36.949,a. Index of Multiple Deprivation (IMD)
E01007752,2019,Score,,8.454,a. Index of Multiple Deprivation (IMD)
E01007843,2019,Score,,35.211,a. Index of Multiple Deprivation (IMD)
E01007340,2019,Score,,32.537,a. Index of Multiple Deprivation (IMD)
E01006761,2019,Score,,61.799,a. Index of Multiple Deprivation (IMD)
E01006805,2019,Score,,27.752,a. Index of Multiple Deprivation (IMD)
E01006689,2019,Score,,12.219,a. Index of Multiple Deprivation (IMD)
E01007645,2019,Score,,48.862,a. Index of Multiple Deprivation (IMD)
E01007692,2019,Score,,16.176,a. Index of Multiple Deprivation (IMD)
E01006369,2019,Score,,51.259,a. Index of Multiple Deprivation (IMD)
E01006163,2019,Score,,6.653,a. Index of Multiple Deprivation (IMD)
E01006944,2019,Score,,33.529,a. Index of Multiple Deprivation (IMD)
E01007679,2019,Score,,28.689,a. Index of Multiple Deprivation (IMD)
E01007659,2019,Score,,11.847,a. Index of Multiple Deprivation (IMD)
E01000548,2019,Score,,32.72,a. Index of Multiple Deprivation (IMD)
E01000831,2019,Score,,8.153,a. Index of Multiple Deprivation (IMD)
E01000739,2019,Score,,42.448,a. Index of Multiple Deprivation (IMD)
E01000802,2019,Score,,19.757,a. Index of Multiple Deprivation (IMD)
E01000003,2019,Score,,19.402,a. Index of Multiple Deprivation (IMD)
E01000046,2019,Score,,29.763,a. Index of Multiple Deprivation (IMD)
E01000790,2019,Score,,13.639,a. Index of Multiple Deprivation (IMD)
E01005543,2019,Score,,19.025,a. Index of Multiple Deprivation (IMD)
E01005248,2019,Score,,22.542,a. Index of Multiple Deprivation (IMD)
E01000689,2019,Score,,21.75,a. Index of Multiple Deprivation (IMD)
E01006667,2019,Score,,35.672,a. Index of Multiple Deprivation (IMD)
E01005228,2019,Score,,69.965,a. Index of Multiple Deprivation (IMD)
E01000816,2019,Score,,14.081,a. Index of Multiple Deprivation (IMD)
E01000724,2019,Score,,36.128,a. Index of Multiple Deprivation (IMD)
E01000670,2019,Score,,5.899,a. Index of Multiple Deprivation (IMD)
E01005035,2019,Score,,23.32,a. Index of Multiple Deprivation (IMD)
E01004549,2019,Score,,19.334,a. Index of Multiple Deprivation (IMD)
E01004985,2019,Score,,8.311,a. Index of Multiple Deprivation (IMD)
E01004795,2019,Score,,45.227,a. Index of Multiple Deprivation (IMD)
E01000531,2019,Score,,25.279,a. Index of Multiple Deprivation (IMD)
E01000659,2019,Score,,7.687,a. Index of Multiple Deprivation (IMD)
E01005100,2019,Score,,41.788,a. Index of Multiple Deprivation (IMD)
E01004991,2019,Score,,24.412,a. Index of Multiple Deprivation (IMD)
E01000088,2019,Score,,28.849,a. Index of Multiple Deprivation (IMD)
E01000099,2019,Score,,29.266,a. Index of Multiple Deprivation (IMD)
E01000067,2019,Score,,20.973,a. Index of Multiple Deprivation (IMD)
E01000085,2019,Score,,35.154,a. Index of Multiple Deprivation (IMD)
E01004796,2019,Score,,29.999,a. Index of Multiple Deprivation (IMD)
E01005038,2019,Score,,8.255,a. Index of Multiple Deprivation (IMD)
E01000124,2019,Score,,23.589,a. Index of Multiple Deprivation (IMD)
E01004534,2019,Score,,13.523,a. Index of Multiple Deprivation (IMD)
E01004772,2019,Score,,34.074,a. Index of Multiple Deprivation (IMD)
E01005389,2019,Score,,47.37,a. Index of Multiple Deprivation (IMD)
E01005440,2019,Score,,28.761,a. Index of Multiple Deprivation (IMD)
E01004583,2019,Score,,12.262,a. Index of Multiple Deprivation (IMD)
E01005339,2019,Score,,10.671,a. Index of Multiple Deprivation (IMD)
E01004559,2019,Score,,7.589,a. Index of Multiple Deprivation (IMD)
E01004484,2019,Score,,18.333,a. Index of Multiple Deprivation (IMD)
E01005522,2019,Score,,32.253,a. Index of Multiple Deprivation (IMD)
E01005359,2019,Score,,12.152,a. Index of Multiple Deprivation (IMD)
E01005471,2019,Score,,37.456,a. Index of Multiple Deprivation (IMD)
E01005327,2019,Score,,23.135,a. Index of Multiple Deprivation (IMD)
E01005140,2019,Score,,38.971,a. Index of Multiple Deprivation (IMD)
E01005170,2019,Score,,12.246,a. Index of Multiple Deprivation (IMD)
E01005316,2019,Score,,32.552,a. Index of Multiple Deprivation (IMD)
E01006831,2019,Score,,31.268,a. Index of Multiple Deprivation (IMD)
E01005266,2019,Score,,49.262,a. Index of Multiple Deprivation (IMD)
E01002280,2019,Score,,49.966,a. Index of Multiple Deprivation (IMD)
E01006700,2019,Score,,70.028,a. Index of Multiple Deprivation (IMD)
E01005139,2019,Score,,32.161,a. Index of Multiple Deprivation (IMD)
E01006643,2019,Score,,61.279,a. Index of Multiple Deprivation (IMD)
E01005284,2019,Score,,28.566,a. Index of Multiple Deprivation (IMD)
E01005117,2019,Score,,56.446,a. Index of Multiple Deprivation (IMD)
E01006879,2019,Score,,41.28,a. Index of Multiple Deprivation (IMD)
E01006899,2019,Score,,36.843,a. Index of Multiple Deprivation (IMD)
E01004784,2019,Score,,8.416,a. Index of Multiple Deprivation (IMD)
E01004564,2019,Score,,18.491,a. Index of Multiple Deprivation (IMD)
E01006603,2019,Score,,58.445,a. Index of Multiple Deprivation (IMD)
E01002274,2019,Score,,7.551,a. Index of Multiple Deprivation (IMD)
E01006541,2019,Score,,51.567,a. Index of Multiple Deprivation (IMD)
E01007536,2019,Score,,26.539,a. Index of Multiple Deprivation (IMD)
E01007514,2019,Score,,33.372,a. Index of Multiple Deprivation (IMD)
E01009236,2019,Score,,23.288,a. Index of Multiple Deprivation (IMD)
E01009248,2019,Score,,24.066,a. Index of Multiple Deprivation (IMD)
E01007306,2019,Score,,12.728,a. Index of Multiple Deprivation (IMD)
E01007039,2019,Score,,20.539,a. Index of Multiple Deprivation (IMD)
E01007450,2019,Score,,45.139,a. Index of Multiple Deprivation (IMD)
E01007240,2019,Score,,29.995,a. Index of Multiple Deprivation (IMD)
E01001641,2019,Score,,16.332,a. Index of Multiple Deprivation (IMD)
E01001753,2019,Score,,35.92,a. Index of Multiple Deprivation (IMD)
E01008842,2019,Score,,27.632,a. Index of Multiple Deprivation (IMD)
E01001619,2019,Score,,14.743,a. Index of Multiple Deprivation (IMD)
E01009139,2019,Score,,23.688,a. Index of Multiple Deprivation (IMD)
E01009198,2019,Score,,52.742,a. Index of Multiple Deprivation (IMD)
E01001767,2019,Score,,33.95,a. Index of Multiple Deprivation (IMD)
E01002311,2019,Score,,26.235,a. Index of Multiple Deprivation (IMD)
E01002321,2019,Score,,9.518,a. Index of Multiple Deprivation (IMD)
E01007343,2019,Score,,34.829,a. Index of Multiple Deprivation (IMD)
E01007392,2019,Score,,42.634,a. Index of Multiple Deprivation (IMD)
E01001297,2019,Score,,23.36,a. Index of Multiple Deprivation (IMD)
E01001483,2019,Score,,53.716,a. Index of Multiple Deprivation (IMD)
E01001495,2019,Score,,12.544,a. Index of Multiple Deprivation (IMD)
E01001425,2019,Score,,48.205,a. Index of Multiple Deprivation (IMD)
E01006989,2019,Score,,8.348,a. Index of Multiple Deprivation (IMD)
E01002382,2019,Score,,8.19,a. Index of Multiple Deprivation (IMD)
E01006931,2019,Score,,8.997,a. Index of Multiple Deprivation (IMD)
E01007503,2019,Score,,13.914,a. Index of Multiple Deprivation (IMD)
E01002083,2019,Score,,17.724,a. Index of Multiple Deprivation (IMD)
E01002160,2019,Score,,13.132,a. Index of Multiple Deprivation (IMD)
E01002392,2019,Score,,35.128,a. Index of Multiple Deprivation (IMD)
E01001855,2019,Score,,18.446,a. Index of Multiple Deprivation (IMD)
E01002009,2019,Score,,12.302,a. Index of Multiple Deprivation (IMD)
E01002049,2019,Score,,31.408,a. Index of Multiple Deprivation (IMD)
E01001923,2019,Score,,17.635,a. Index of Multiple Deprivation (IMD)
E01001567,2019,Score,,6.287,a. Index of Multiple Deprivation (IMD)
E01001592,2019,Score,,14.689,a. Index of Multiple Deprivation (IMD)
E01001509,2019,Score,,34.342,a. Index of Multiple Deprivation (IMD)
E01001541,2019,Score,,9.711,a. Index of Multiple Deprivation (IMD)
E01000629,2019,Score,,15.786,a. Index of Multiple Deprivation (IMD)
E01004895,2019,Score,,34.501,a. Index of Multiple Deprivation (IMD)
E01000582,2019,Score,,14.317,a. Index of Multiple Deprivation (IMD)
E01000513,2019,Score,,15.506,a. Index of Multiple Deprivation (IMD)
E01000615,2019,Score,,19.767,a. Index of Multiple Deprivation (IMD)
E01001911,2019,Score,,34.648,a. Index of Multiple Deprivation (IMD)
E01000661,2019,Score,,37.586,a. Index of Multiple Deprivation (IMD)
E01009314,2019,Score,,38.883,a. Index of Multiple Deprivation (IMD)
E01009377,2019,Score,,62.81,a. Index of Multiple Deprivation (IMD)
E01001896,2019,Score,,22.043,a. Index of Multiple Deprivation (IMD)
E01009265,2019,Score,,38.104,a. Index of Multiple Deprivation (IMD)
E01008732,2019,Score,,24.223,a. Index of Multiple Deprivation (IMD)
E01008819,2019,Score,,33.999,a. Index of Multiple Deprivation (IMD)
E01009410,2019,Score,,46.42,a. Index of Multiple Deprivation (IMD)
E01008723,2019,Score,,6.126,a. Index of Multiple Deprivation (IMD)
E01000956,2019,Score,,33.601,a. Index of Multiple Deprivation (IMD)
E01001153,2019,Score,,22.665,a. Index of Multiple Deprivation (IMD)
E01001261,2019,Score,,22.674,a. Index of Multiple Deprivation (IMD)
E01001092,2019,Score,,19.832,a. Index of Multiple Deprivation (IMD)
E01001787,2019,Score,,43.42,a. Index of Multiple Deprivation (IMD)
E01001097,2019,Score,,22.424,a. Index of Multiple Deprivation (IMD)
E01001905,2019,Score,,7.147,a. Index of Multiple Deprivation (IMD)
E01009465,2019,Score,,9.943,a. Index of Multiple Deprivation (IMD)
E01008501,2019,Score,,9.266,a. Index of Multiple Deprivation (IMD)
E01008697,2019,Score,,34.636,a. Index of Multiple Deprivation (IMD)
E01008593,2019,Score,,59.349,a. Index of Multiple Deprivation (IMD)
E01008528,2019,Score,,11.565,a. Index of Multiple Deprivation (IMD)
E01008563,2019,Score,,1.529,a. Index of Multiple Deprivation (IMD)
E01009108,2019,Score,,16.716,a. Index of Multiple Deprivation (IMD)
E01009119,2019,Score,,26.603,a. Index of Multiple Deprivation (IMD)
E01023793,2019,Score,,29.374,a. Index of Multiple Deprivation (IMD)
E01024188,2019,Score,,14.188,a. Index of Multiple Deprivation (IMD)
E01023911,2019,Score,,6.375,a. Index of Multiple Deprivation (IMD)
E01024078,2019,Score,,36.338,a. Index of Multiple Deprivation (IMD)
E01008655,2019,Score,,45.934,a. Index of Multiple Deprivation (IMD)
E01009167,2019,Score,,25.947,a. Index of Multiple Deprivation (IMD)
E01024027,2019,Score,,25.849,a. Index of Multiple Deprivation (IMD)
E01009157,2019,Score,,59.609,a. Index of Multiple Deprivation (IMD)
E01003686,2019,Score,,26.378,a. Index of Multiple Deprivation (IMD)
E01003552,2019,Score,,29.808,a. Index of Multiple Deprivation (IMD)
E01003396,2019,Score,,12.299,a. Index of Multiple Deprivation (IMD)
E01003664,2019,Score,,15.719,a. Index of Multiple Deprivation (IMD)
E01003312,2019,Score,,17.586,a. Index of Multiple Deprivation (IMD)
E01003636,2019,Score,,32.341,a. Index of Multiple Deprivation (IMD)
E01003563,2019,Score,,27.104,a. Index of Multiple Deprivation (IMD)
E01003246,2019,Score,,40.956,a. Index of Multiple Deprivation (IMD)
E01008533,2019,Score,,32.498,a. Index of Multiple Deprivation (IMD)
E01008681,2019,Score,,7.147,a. Index of Multiple Deprivation (IMD)
E01008632,2019,Score,,35.201,a. Index of Multiple Deprivation (IMD)
E01008458,2019,Score,,13.573,a. Index of Multiple Deprivation (IMD)
E01008510,2019,Score,,27.524,a. Index of Multiple Deprivation (IMD)
E01003369,2019,Score,,12.297,a. Index of Multiple Deprivation (IMD)
E01008578,2019,Score,,22.567,a. Index of Multiple Deprivation (IMD)
E01025349,2019,Score,,9.845,a. Index of Multiple Deprivation (IMD)
E01025250,2019,Score,,52.313,a. Index of Multiple Deprivation (IMD)
E01025269,2019,Score,,37.15,a. Index of Multiple Deprivation (IMD)
E01023974,2019,Score,,36.327,a. Index of Multiple Deprivation (IMD)
E01025420,2019,Score,,10.085,a. Index of Multiple Deprivation (IMD)
E01025462,2019,Score,,13.165,a. Index of Multiple Deprivation (IMD)
E01025374,2019,Score,,28.747,a. Index of Multiple Deprivation (IMD)
E01025393,2019,Score,,21.81,a. Index of Multiple Deprivation (IMD)
E01025205,2019,Score,,36.542,a. Index of Multiple Deprivation (IMD)
E01025177,2019,Score,,6.409,a. Index of Multiple Deprivation (IMD)
E01030495,2019,Score,,5.863,a. Index of Multiple Deprivation (IMD)
E01030532,2019,Score,,6.605,a. Index of Multiple Deprivation (IMD)
E01025227,2019,Score,,62.814,a. Index of Multiple Deprivation (IMD)
E01025243,2019,Score,,20.944,a. Index of Multiple Deprivation (IMD)
E01025287,2019,Score,,55.153,a. Index of Multiple Deprivation (IMD)
E01024498,2019,Score,,55.962,a. Index of Multiple Deprivation (IMD)
E01023894,2019,Score,,4.545,a. Index of Multiple Deprivation (IMD)
E01023745,2019,Score,,4.255,a. Index of Multiple Deprivation (IMD)
E01023861,2019,Score,,20.187,a. Index of Multiple Deprivation (IMD)
E01024094,2019,Score,,13.82,a. Index of Multiple Deprivation (IMD)
E01023995,2019,Score,,7.043,a. Index of Multiple Deprivation (IMD)
E01023839,2019,Score,,1.71,a. Index of Multiple Deprivation (IMD)
E01023936,2019,Score,,18.522,a. Index of Multiple Deprivation (IMD)
E01025594,2019,Score,,13.125,a. Index of Multiple Deprivation (IMD)
E01025605,2019,Score,,22.754,a. Index of Multiple Deprivation (IMD)
E01025494,2019,Score,,55.953,a. Index of Multiple Deprivation (IMD)
E01025538,2019,Score,,6.603,a. Index of Multiple Deprivation (IMD)
E01023885,2019,Score,,5.584,a. Index of Multiple Deprivation (IMD)
E01023805,2019,Score,,23.739,a. Index of Multiple Deprivation (IMD)
E01023755,2019,Score,,20.427,a. Index of Multiple Deprivation (IMD)
E01008724,2019,Score,,3.796,a. Index of Multiple Deprivation (IMD)
E01002841,2019,Score,,26.462,a. Index of Multiple Deprivation (IMD)
E01009001,2019,Score,,27.305,a. Index of Multiple Deprivation (IMD)
E01008867,2019,Score,,47.238,a. Index of Multiple Deprivation (IMD)
E01003183,2019,Score,,28.803,a. Index of Multiple Deprivation (IMD)
E01003197,2019,Score,,43.555,a. Index of Multiple Deprivation (IMD)
E01002714,2019,Score,,14.035,a. Index of Multiple Deprivation (IMD)
E01002623,2019,Score,,28.246,a. Index of Multiple Deprivation (IMD)
E01009697,2019,Score,,9.39,a. Index of Multiple Deprivation (IMD)
E01008846,2019,Score,,51.72,a. Index of Multiple Deprivation (IMD)
E01008447,2019,Score,,9.721,a. Index of Multiple Deprivation (IMD)
E01008315,2019,Score,,14.882,a. Index of Multiple Deprivation (IMD)
E01009670,2019,Score,,5.325,a. Index of Multiple Deprivation (IMD)
E01008729,2019,Score,,50.634,a. Index of Multiple Deprivation (IMD)
E01009767,2019,Score,,24.422,a. Index of Multiple Deprivation (IMD)
E01003232,2019,Score,,12.297,a. Index of Multiple Deprivation (IMD)
E01003034,2019,Score,,18.498,a. Index of Multiple Deprivation (IMD)
E01010483,2019,Score,,58.871,a. Index of Multiple Deprivation (IMD)
E01003214,2019,Score,,26.267,a. Index of Multiple Deprivation (IMD)
E01030264,2019,Score,,38.151,a. Index of Multiple Deprivation (IMD)
E01030651,2019,Score,,13.231,a. Index of Multiple Deprivation (IMD)
E01003127,2019,Score,,26.097,a. Index of Multiple Deprivation (IMD)
E01030238,2019,Score,,6.918,a. Index of Multiple Deprivation (IMD)
E01002662,2019,Score,,17.234,a. Index of Multiple Deprivation (IMD)
E01002946,2019,Score,,8.721,a. Index of Multiple Deprivation (IMD)
E01003023,2019,Score,,19.316,a. Index of Multiple Deprivation (IMD)
E01002853,2019,Score,,57.097,a. Index of Multiple Deprivation (IMD)
E01003155,2019,Score,,19.058,a. Index of Multiple Deprivation (IMD)
E01010417,2019,Score,,42.259,a. Index of Multiple Deprivation (IMD)
E01003133,2019,Score,,24.483,a. Index of Multiple Deprivation (IMD)
E01009648,2019,Score,,13.697,a. Index of Multiple Deprivation (IMD)
E01010216,2019,Score,,4.602,a. Index of Multiple Deprivation (IMD)
E01010208,2019,Score,,9.061,a. Index of Multiple Deprivation (IMD)
E01010176,2019,Score,,4.287,a. Index of Multiple Deprivation (IMD)
E01009730,2019,Score,,10.66,a. Index of Multiple Deprivation (IMD)
E01009662,2019,Score,,34.045,a. Index of Multiple Deprivation (IMD)
E01010223,2019,Score,,19.027,a. Index of Multiple Deprivation (IMD)
E01009458,2019,Score,,28.61,a. Index of Multiple Deprivation (IMD)
E01009394,2019,Score,,23.832,a. Index of Multiple Deprivation (IMD)
E01003741,2019,Score,,16.28,a. Index of Multiple Deprivation (IMD)
E01003642,2019,Score,,16.546,a. Index of Multiple Deprivation (IMD)
E01009282,2019,Score,,37.399,a. Index of Multiple Deprivation (IMD)
E01003589,2019,Score,,26.805,a. Index of Multiple Deprivation (IMD)
E01003609,2019,Score,,23.035,a. Index of Multiple Deprivation (IMD)
E01003748,2019,Score,,4.929,a. Index of Multiple Deprivation (IMD)
E01008994,2019,Score,,21.737,a. Index of Multiple Deprivation (IMD)
E01008385,2019,Score,,44.584,a. Index of Multiple Deprivation (IMD)
E01010036,2019,Score,,34.587,a. Index of Multiple Deprivation (IMD)
E01010156,2019,Score,,2.672,a. Index of Multiple Deprivation (IMD)
E01008363,2019,Score,,9.883,a. Index of Multiple Deprivation (IMD)
E01008618,2019,Score,,7.195,a. Index of Multiple Deprivation (IMD)
E01009021,2019,Score,,51.554,a. Index of Multiple Deprivation (IMD)
E01008959,2019,Score,,19.466,a. Index of Multiple Deprivation (IMD)
E01008935,2019,Score,,60.175,a. Index of Multiple Deprivation (IMD)
E01008951,2019,Score,,20.834,a. Index of Multiple Deprivation (IMD)
E01009429,2019,Score,,3.431,a. Index of Multiple Deprivation (IMD)
E01008928,2019,Score,,50.213,a. Index of Multiple Deprivation (IMD)
E01009956,2019,Score,,30.461,a. Index of Multiple Deprivation (IMD)
E01009998,2019,Score,,35.524,a. Index of Multiple Deprivation (IMD)
E01009092,2019,Score,,58.718,a. Index of Multiple Deprivation (IMD)
E01030112,2019,Score,,16.892,a. Index of Multiple Deprivation (IMD)
E01024723,2019,Score,,14.007,a. Index of Multiple Deprivation (IMD)
E01030083,2019,Score,,12.738,a. Index of Multiple Deprivation (IMD)
E01030008,2019,Score,,6.654,a. Index of Multiple Deprivation (IMD)
E01024751,2019,Score,,3.887,a. Index of Multiple Deprivation (IMD)
E01024764,2019,Score,,17.181,a. Index of Multiple Deprivation (IMD)
E01024731,2019,Score,,5.326,a. Index of Multiple Deprivation (IMD)
E01024750,2019,Score,,11.161,a. Index of Multiple Deprivation (IMD)
E01030041,2019,Score,,15.128,a. Index of Multiple Deprivation (IMD)
E01029961,2019,Score,,19.323,a. Index of Multiple Deprivation (IMD)
E01029780,2019,Score,,12.901,a. Index of Multiple Deprivation (IMD)
E01029821,2019,Score,,16.425,a. Index of Multiple Deprivation (IMD)
E01030022,2019,Score,,23.236,a. Index of Multiple Deprivation (IMD)
E01030128,2019,Score,,4.147,a. Index of Multiple Deprivation (IMD)
E01029189,2019,Score,,16.58,a. Index of Multiple Deprivation (IMD)
E01025071,2019,Score,,27.825,a. Index of Multiple Deprivation (IMD)
E01025158,2019,Score,,5.319,a. Index of Multiple Deprivation (IMD)
E01025032,2019,Score,,41.799,a. Index of Multiple Deprivation (IMD)
E01025062,2019,Score,,51.487,a. Index of Multiple Deprivation (IMD)
E01023008,2019,Score,,12.148,a. Index of Multiple Deprivation (IMD)
E01023442,2019,Score,,7.182,a. Index of Multiple Deprivation (IMD)
E01023235,2019,Score,,11.993,a. Index of Multiple Deprivation (IMD)
E01023119,2019,Score,,42.079,a. Index of Multiple Deprivation (IMD)
E01024891,2019,Score,,25.456,a. Index of Multiple Deprivation (IMD)
E01024910,2019,Score,,44.483,a. Index of Multiple Deprivation (IMD)
